Order ID,Returned,Reason
US-2023-136483,Yes,Defective / Does not work
US-2023-136924,Yes,Defective / Does not work
US-2023-138282,Yes,Defective / Does not work
US-2023-139269,Yes,Missing parts or accessories
US-2023-142398,Yes,Wrong item received
US-2023-145261,Yes,Damaged in transit
US-2023-145492,Yes,Wrong quantity received
US-2023-145583,Yes,Item not as described or pictured
US-2023-145919,Yes,Wrong quantity received
US-2023-145982,Yes,Found a better price elsewhere
US-2023-147375,Yes,Poor quality / Did not meet expectations
US-2023-148796,Yes,Found a better price elsewhere
US-2023-150077,Yes,Poor quality / Did not meet expectations
US-2023-151323,Yes,"Did not like color, style, or appearance"
US-2023-151372,Yes,"Did not like color, style, or appearance"
US-2023-152814,Yes,Item not as described or pictured
US-2023-157280,Yes,Missing parts or accessories
US-2023-159023,Yes,"Did not like color, style, or appearance"
US-2023-159212,Yes,Item not as described or pictured
US-2023-159345,Yes,Poor quality / Did not meet expectations
US-2023-161746,Yes,"Did not like color, style, or appearance"
US-2023-162138,Yes,Wrong item received
US-2023-162159,Yes,Defective / Does not work
US-2023-165330,Yes,Damaged in transit
US-2023-166275,Yes,Wrong quantity received
US-2023-167759,Yes,Missing parts or accessories
US-2023-168921,Yes,"Did not like color, style, or appearance"
US-2024-100111,Yes,Damaged in transit
US-2024-101273,Yes,Found a better price elsewhere
US-2024-101574,Yes,"Did not like color, style, or appearance"
US-2024-101700,Yes,Wrong quantity received
US-2024-101805,Yes,"Did not like color, style, or appearance"
US-2024-102519,Yes,Found a better price elsewhere
US-2024-103380,Yes,Found a better price elsewhere
US-2024-107825,Yes,Defective / Does not work
US-2024-108294,Yes,Damaged in transit
US-2024-108931,Yes,Poor quality / Did not meet expectations
US-2024-109085,Yes,Damaged in transit
US-2024-111556,Yes,Poor quality / Did not meet expectations
US-2024-112725,Yes,Poor quality / Did not meet expectations
US-2024-112753,Yes,Missing parts or accessories
US-2024-112865,Yes,Found a better price elsewhere
US-2024-113670,Yes,Poor quality / Did not meet expectations
US-2024-115427,Yes,Found a better price elsewhere
US-2024-115994,Yes,Poor quality / Did not meet expectations
US-2024-117212,Yes,Found a better price elsewhere
US-2024-117513,Yes,Item not as described or pictured
US-2024-117926,Yes,Wrong item received
US-2024-118122,Yes,Item not as described or pictured
US-2024-118542,Yes,"Did not like color, style, or appearance"
US-2024-119284,Yes,Item not as described or pictured
US-2024-121258,Yes,Damaged in transit
US-2024-121853,Yes,Missing parts or accessories
US-2024-122007,Yes,Defective / Does not work
US-2024-122504,Yes,Defective / Does not work
US-2024-123085,Yes,Damaged in transit
US-2024-123491,Yes,Found a better price elsewhere
US-2024-124401,Yes,Missing parts or accessories
US-2024-127306,Yes,Wrong quantity received
US-2024-128965,Yes,Missing parts or accessories
US-2024-129707,Yes,Poor quality / Did not meet expectations
US-2024-130631,Yes,Found a better price elsewhere
US-2024-131492,Yes,Wrong quantity received
US-2024-131618,Yes,Found a better price elsewhere
US-2024-131807,Yes,Wrong item received
US-2024-131828,Yes,Defective / Does not work
US-2024-132346,Yes,Damaged in transit
US-2024-134194,Yes,Item not as described or pictured
US-2024-135692,Yes,Item not as described or pictured
US-2024-136308,Yes,Defective / Does not work
US-2024-136539,Yes,Item not as described or pictured
US-2024-136651,Yes,Missing parts or accessories
US-2024-137085,Yes,Item not as described or pictured
US-2024-137099,Yes,Defective / Does not work
US-2024-137414,Yes,Item not as described or pictured
US-2024-137428,Yes,Missing parts or accessories
US-2024-138163,Yes,Found a better price elsewhere
US-2024-140053,Yes,Damaged in transit
US-2024-140151,Yes,Wrong item received
US-2024-140186,Yes,Poor quality / Did not meet expectations
US-2024-140585,Yes,Wrong quantity received
US-2024-140963,Yes,Wrong quantity received
US-2024-141929,Yes,"Did not like color, style, or appearance"
US-2024-142328,Yes,Found a better price elsewhere
US-2024-142342,Yes,Found a better price elsewhere
US-2024-142867,Yes,"Did not like color, style, or appearance"
US-2024-142888,Yes,Defective / Does not work
US-2024-143084,Yes,"Did not like color, style, or appearance"
US-2024-144064,Yes,Damaged in transit
US-2024-145128,Yes,Defective / Does not work
US-2024-145772,Yes,Item not as described or pictured
US-2024-147452,Yes,Missing parts or accessories
US-2024-150609,Yes,Damaged in transit
US-2024-150910,Yes,Wrong item received
US-2024-152660,Yes,Defective / Does not work
US-2024-153822,Yes,Wrong quantity received
US-2024-154074,Yes,Wrong item received
US-2024-154214,Yes,Wrong item received
US-2024-154949,Yes,Found a better price elsewhere
US-2024-155712,Yes,Poor quality / Did not meet expectations
US-2024-156391,Yes,Wrong quantity received
US-2024-156958,Yes,Wrong item received
US-2024-157196,Yes,"Did not like color, style, or appearance"
US-2024-158729,Yes,"Did not like color, style, or appearance"
US-2024-159954,Yes,"Did not like color, style, or appearance"
US-2024-161459,Yes,Missing parts or accessories
US-2024-161557,Yes,Defective / Does not work
US-2024-161956,Yes,Damaged in transit
US-2024-162015,Yes,Found a better price elsewhere
US-2024-165008,Yes,Defective / Does not work
US-2024-165491,Yes,Wrong item received
US-2024-166093,Yes,Missing parts or accessories
US-2024-166142,Yes,Wrong item received
US-2024-166898,Yes,Found a better price elsewhere
US-2024-167003,Yes,Damaged in transit
US-2024-167395,Yes,Item not as described or pictured
US-2024-168193,Yes,Poor quality / Did not meet expectations
US-2024-169327,Yes,Wrong quantity received
US-2024-169859,Yes,Damaged in transit
US-2024-169894,Yes,Defective / Does not work
US-2021-105137,Yes,Item not as described or pictured
US-2021-138758,Yes,Defective / Does not work
US-2021-140452,Yes,"Did not like color, style, or appearance"
US-2021-143287,Yes,Poor quality / Did not meet expectations
US-2021-150574,Yes,Defective / Does not work
US-2021-164406,Yes,Poor quality / Did not meet expectations
US-2021-164763,Yes,Defective / Does not work
US-2022-110569,Yes,Defective / Does not work
US-2022-126214,Yes,Found a better price elsewhere
US-2022-128090,Yes,Wrong quantity received
US-2022-136749,Yes,Poor quality / Did not meet expectations
US-2022-136987,Yes,Wrong item received
US-2022-137008,Yes,"Did not like color, style, or appearance"
US-2022-160857,Yes,Found a better price elsewhere
US-2023-105578,Yes,Item not as described or pictured
US-2023-108455,Yes,Found a better price elsewhere
US-2023-111528,Yes,Found a better price elsewhere
US-2023-114230,Yes,"Did not like color, style, or appearance"
US-2023-114293,Yes,Item not as described or pictured
US-2023-115952,Yes,"Did not like color, style, or appearance"
US-2023-119046,Yes,Wrong quantity received
US-2023-127425,Yes,"Did not like color, style, or appearance"
US-2023-131149,Yes,Damaged in transit
US-2023-135720,Yes,Defective / Does not work
US-2023-140172,Yes,Defective / Does not work
US-2023-144057,Yes,Damaged in transit
US-2023-148957,Yes,"Did not like color, style, or appearance"
US-2023-151827,Yes,Wrong item received
US-2023-152051,Yes,Missing parts or accessories
US-2023-156986,Yes,Wrong quantity received
US-2023-157490,Yes,Wrong item received
US-2024-103247,Yes,Missing parts or accessories
US-2024-103828,Yes,Found a better price elsewhere
US-2024-105046,Yes,Poor quality / Did not meet expectations
US-2024-107888,Yes,Found a better price elsewhere
US-2024-109253,Yes,Item not as described or pictured
US-2024-118087,Yes,Poor quality / Did not meet expectations
US-2024-123834,Yes,"Did not like color, style, or appearance"
US-2024-136679,Yes,Item not as described or pictured
US-2024-147886,Yes,Item not as described or pictured
US-2024-147998,Yes,Missing parts or accessories
US-2024-151127,Yes,Found a better price elsewhere
US-2024-155999,Yes,Poor quality / Did not meet expectations
